Class,Package,KILLED,NO_COVERAGE,RUN_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
PSquarePercentile.java,org.apache.commons.math4.stat.descriptive.rank,157,3,0,20,0,180,87.22222222222223
Pair.java,org.apache.commons.math4.util,18,1,0,5,0,24,75.0
ParameterConfiguration.java,org.apache.commons.math4.ode,1,0,0,1,0,2,50.0
ParameterJacobianWrapper.java,org.apache.commons.math4.ode,15,2,0,0,0,17,88.23529411764706
ParameterizedWrapper.java,org.apache.commons.math4.ode,0,6,0,0,0,6,0.0
PearsonsCorrelation.java,org.apache.commons.math4.stat.correlation,61,0,0,4,0,65,93.84615384615384
Percentile.java,org.apache.commons.math4.stat.descriptive.rank,155,4,0,25,0,184,84.23913043478261
PiecewiseBicubicSplineInterpolatingFunction.java,org.apache.commons.math4.analysis.interpolation,48,13,0,3,0,64,75.0
PiecewiseBicubicSplineInterpolator.java,org.apache.commons.math4.analysis.interpolation,8,0,0,2,0,10,80.0
PointValuePair.java,org.apache.commons.math4.optim,6,0,0,1,0,7,85.71428571428571
PointVectorValuePair.java,org.apache.commons.math4.optim,7,3,0,2,0,12,58.333333333333336
PolynomialCurveFitter.java,org.apache.commons.math4.fitting,7,1,0,0,0,8,87.5
PolynomialFunction.java,org.apache.commons.math4.analysis.polynomials,87,24,0,12,0,123,70.73170731707317
PolynomialFunctionLagrangeForm.java,org.apache.commons.math4.analysis.polynomials,83,10,0,6,0,99,83.83838383838383
PolynomialFunctionNewtonForm.java,org.apache.commons.math4.analysis.polynomials,41,4,0,6,0,51,80.3921568627451
PolynomialSplineFunction.java,org.apache.commons.math4.analysis.polynomials,42,12,0,0,0,54,77.77777777777779
PolynomialsUtils.java,org.apache.commons.math4.analysis.polynomials,97,1,0,7,0,105,92.38095238095238
Pow.java,org.apache.commons.math4.analysis.function,1,0,0,0,0,1,100.0
PowellOptimizer.java,org.apache.commons.math4.optim.nonlinear.scalar.noderiv,34,0,0,30,0,64,53.125
Power.java,org.apache.commons.math4.analysis.function,2,0,0,0,0,2,100.0
PreconditionedIterativeLinearSolver.java,org.apache.commons.math4.linear,8,2,0,4,0,14,57.14285714285714
Product.java,org.apache.commons.math4.stat.descriptive.summary,21,1,0,2,0,24,87.5
QRDecomposition.java,org.apache.commons.math4.linear,180,0,0,6,0,186,96.7741935483871
QuantizationError.java,org.apache.commons.math4.ml.neuralnet.twod.util,0,12,0,0,0,12,0.0
QuasiSigmoidDecayFunction.java,org.apache.commons.math4.ml.neuralnet.sofm.util,10,0,0,1,0,11,90.9090909090909
RRQRDecomposition.java,org.apache.commons.math4.linear,32,0,0,6,0,38,84.21052631578947
